[ 2013-11-22T16:31:48+08:00 ] / | SQL: SELECT `id`,`catid`,`name`,`url`,`exten_catid` FROM `cms_link` WHERE status=1 ORDER BY sort desc,id desc  [ RunTime:0.000466s ]
[ 2013-11-22T16:31:48+08:00 ] / | SQL: SHOW COLUMNS FROM `cms_setting` [ RunTime:0.002973s ]
[ 2013-11-22T16:31:48+08:00 ] / | SQL: SELECT * FROM `cms_setting`  [ RunTime:0.000275s ]
[ 2013-11-22T16:31:48+08:00 ] / | SQL: SHOW COLUMNS FROM `cms_index_data` [ RunTime:0.003444s ]
[ 2013-11-22T16:31:48+08:00 ] / | SQL: SELECT * FROM `cms_index_data` WHERE status=1 and catid in(1,2,3,4) ORDER BY sort desc,id desc  [ RunTime:0.000457s ]
[ 2013-11-22T16:31:48+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2013-11-22T16:31:48+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.001319s ]
[ 2013-11-22T16:31:48+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.001436s ]
[ 2013-11-22T16:31:48+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2013-11-22T16:31:48+08:00 ] / | NOTIC: [8] Undefined variable: page_title e57cb8c2ce497fd0803b10241f4fc8f8.php 第 6 行.
[ 2013-11-22T16:31:48+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.016550s ]
[ 2013-11-22T16:31:48+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.016662s ]
[ 2013-11-22T16:31:48+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2013-11-22T16:31:48+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.001095s ]
[ 2013-11-22T16:31:48+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000713s ]
[ 2013-11-22T16:31:48+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000468s ]
[ 2013-11-22T16:31:48+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000767s ]
[ 2013-11-22T16:31:48+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003338s ]
[ 2013-11-22T16:31:48+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2013-11-22T16:31:48+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.000676s ]
[ 2013-11-22T16:31:48+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.000778s ]
[ 2013-11-22T16:32:26+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2013-11-22T16:32:26+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000727s ]
[ 2013-11-22T16:32:26+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000848s ]
[ 2013-11-22T16:32:26+08:00 ] / | NOTIC: [2] include(D:\work\hezong.com\hezong.com/includes/lib_common.php) [<a href='function.include'>function.include</a>]: failed to open stream: No such file or directory baseAction.class.php 第 22 行.
[ 2013-11-22T16:32:26+08:00 ] / | NOTIC: [2] include() [<a href='function.include'>function.include</a>]: Failed opening 'D:\work\hezong.com\hezong.com/includes/lib_common.php' for inclusion (include_path='.;D:\install\xampp\php\PEAR') baseAction.class.php 第 22 行.
[ 2013-11-22T16:32:26+08:00 ] / | SQL: SHOW COLUMNS FROM `cms_article` [ RunTime:0.003757s ]
[ 2013-11-22T16:32:26+08:00 ] / | SQL: SHOW COLUMNS FROM `cms_article_data` [ RunTime:0.003350s ]
[ 2013-11-22T16:32:26+08:00 ] / | SQL: SHOW COLUMNS FROM `cms_link` [ RunTime:0.003174s ]
[ 2013-11-22T16:32:26+08:00 ] / | SQL: SELECT `id`,`catid`,`name`,`url`,`exten_catid` FROM `cms_link` WHERE status=1 ORDER BY sort desc,id desc  [ RunTime:0.000417s ]
[ 2013-11-22T16:32:26+08:00 ] / | SQL: SHOW COLUMNS FROM `cms_setting` [ RunTime:0.003051s ]
[ 2013-11-22T16:32:26+08:00 ] / | SQL: SELECT * FROM `cms_setting`  [ RunTime:0.000274s ]
[ 2013-11-22T16:32:26+08:00 ] / | SQL: SHOW COLUMNS FROM `cms_index_data` [ RunTime:0.003323s ]
[ 2013-11-22T16:32:26+08:00 ] / | SQL: SELECT * FROM `cms_index_data` WHERE status=1 and catid in(1,2,3,4) ORDER BY sort desc,id desc  [ RunTime:0.000480s ]
[ 2013-11-22T16:32:26+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2013-11-22T16:32:26+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.000774s ]
[ 2013-11-22T16:32:26+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.000885s ]
[ 2013-11-22T16:32:26+08:00 ] / | INFO: Tag[ view_parse ] --START--
